University_ID,University_Name,State,Official_Website,Established_Year,Recognition,Accreditation,NIRF_Rank,Courses,Popular_Courses,Departments,Eligibility,Tuition_Fee,Admission_Fee,Examination_Fee,Other_Fees,Placement_Cell,Placement_Policy,Placement_Rate,Average_Package,Highest_Package,Lowest_Package,Recruiters,Placement_Eligibility,Internship,Internship_Policy,Transport_Available,Transport_Fee,Transport_Routes,Transport_Timing,Library_Available,Library_Facilities,Library_Books,Digital_Library,E_Resources,Library_Timing,Hostel_Available,Boys_Hostel,Girls_Hostel,Hostel_Fee,Mess_Fee,Hostel_Timing,Hostel_Leave_Rules,Hostel_Discipline_Rules,Sports_Available,Sports_Facilities,Indoor_Sports,Outdoor_Sports,Gym,Exam_System,Attendance_Rule,Internal_Marks,External_Marks,Passing_Criteria,Re_Exam_Rule,Supplementary_Exam,Backlog_Rule,Scholarship,Counselling,Student_Clubs,Student_Support,Student_Feedback,Teaching_Rating,Placement_Rating,Hostel_Rating,Transport_Rating,Library_Rating,Sports_Rating,Overall_Rating
UNI001,Thakur College of Engineering and Technology,Mahārāshtra,https://www.tcetmumbai.in/,2024,UGC Recognized,NAAC 'A' Grade,94,"Engineering: Computer Science (CSE), Civil, Mechanical, ICT","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",2025 per semester,8942,3216,5009,Active Training and Placement Cell,Strictly for registered final-year students,79% in 2023,7.8 Lakh Per Annum,37.3 Lakh Per Annum,3.6 Lakh Per Annum,"TCS, Infosys, Wipro, Cognizant, Amazon, Microsoft",Minimum 6.0 CGPA with no active backlogs,Mandatory 6-week summer internship,Stipend based on company selection,"Yes, across major city routes",25664,Over 15 designated routes,7:30 AM to 5:30 PM,Central Air-Conditioned Library,"Reading Room, Reference Section, Digital Access",212896,Available with remote access,"IEEE, Springer, ScienceDirect",8:00 AM to 8:00 PM,"Yes, for Boys and Girls",Available with 500+ capacity,Available with 300+ capacity,57039,37185,9:30 PM,Prior permission from Warden required,Strict anti-ragging policies enforced,"Yes, indoor and outdoor facilities","Football ground, Cricket pitch, Basketball courts","Table Tennis, Badminton, Chess","Football, Cricket, Volleyball, Athletics",Well-equipped modern gymnasium,Semester System (CBCS),Minimum 75% attendance mandatory,25% weightage,75% weightage,Minimum 40% aggregate required to pass,Conducted within 1 month of result declaration,Available for a maximum of 3 subjects,Maximum 4 backlogs allowed to promote to next year,Merit-based and Category-based scholarships available,Dedicated Student Counselling Centre,"Technical, Cultural, and Sports Clubs",Anti-Ragging Squad and Grievance Cell,End-semester anonymous feedback system,4.1/5,3.9/5,3.7/5,4.3/5,4.5/5,4.2/5,4.6/5
UNI002,Atharva College of Engineering,Mumbai,https://atharvacoe.ac.in/,1962,UGC Recognized,NAAC 'A' Grade,66,"Engineering: Computer Science (CSE), Civil, Mechanical, ICT","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",124458 per semester,20772,4811,2354,Active Training and Placement Cell,Strictly for registered final-year students,91% in 2023,8.7 Lakh Per Annum,43.2 Lakh Per Annum,3.7 Lakh Per Annum,"TCS, Infosys, Wipro, Cognizant, Amazon, Microsoft",Minimum 6.0 CGPA with no active backlogs,Mandatory 6-week summer internship,Stipend based on company selection,"Yes, across major city routes",19237,Over 15 designated routes,7:30 AM to 5:30 PM,Central Air-Conditioned Library,"Reading Room, Reference Section, Digital Access",190852,Available with remote access,"IEEE, Springer, ScienceDirect",8:00 AM to 8:00 PM,"Yes, for Boys and Girls",Available with 500+ capacity,Available with 300+ capacity,54140,27026,9:30 PM,Prior permission from Warden required,Strict anti-ragging policies enforced,"Yes, indoor and outdoor facilities","Football ground, Cricket pitch, Basketball courts","Table Tennis, Badminton, Chess","Football, Cricket, Volleyball, Athletics",Well-equipped modern gymnasium,Semester System (CBCS),Minimum 75% attendance mandatory,25% weightage,75% weightage,Minimum 40% aggregate required to pass,Conducted within 1 month of result declaration,Available for a maximum of 3 subjects,Maximum 4 backlogs allowed to promote to next year,Merit-based and Category-based scholarships available,Dedicated Student Counselling Centre,"Technical, Cultural, and Sports Clubs",Anti-Ragging Squad and Grievance Cell,End-semester anonymous feedback system,4.2/5,3.8/5,3.8/5,4.1/5,4.6/5,4.7/5,4.4/5
UNI003,Bhagwan Parshuram Institute of Technology,Delhi,http://bpitindia.ac.in/,1986,UGC Recognized,NAAC 'A' Grade,102,"Engineering: Computer Science (CSE), Civil, Mechanical, ICT","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",2026 per semester,17575,3796,9094,Active Training and Placement Cell,Strictly for registered final-year students,83% in 2023,11.9 Lakh Per Annum,34.5 Lakh Per Annum,3.2 Lakh Per Annum,"TCS, Infosys, Wipro, Cognizant, Amazon, Microsoft",Minimum 6.0 CGPA with no active backlogs,Mandatory 6-week summer internship,Stipend based on company selection,"Yes, across major city routes",26420,Over 15 designated routes,7:30 AM to 5:30 PM,Central Air-Conditioned Library,"Reading Room, Reference Section, Digital Access",147205,Available with remote access,"IEEE, Springer, ScienceDirect",8:00 AM to 8:00 PM,"Yes, for Boys and Girls",Available with 500+ capacity,Available with 300+ capacity,72801,37638,9:30 PM,Prior permission from Warden required,Strict anti-ragging policies enforced,"Yes, indoor and outdoor facilities","Football ground, Cricket pitch, Basketball courts","Table Tennis, Badminton, Chess","Football, Cricket, Volleyball, Athletics",Well-equipped modern gymnasium,Semester System (CBCS),Minimum 75% attendance mandatory,25% weightage,75% weightage,Minimum 40% aggregate required to pass,Conducted within 1 month of result declaration,Available for a maximum of 3 subjects,Maximum 4 backlogs allowed to promote to next year,Merit-based and Category-based scholarships available,Dedicated Student Counselling Centre,"Technical, Cultural, and Sports Clubs",Anti-Ragging Squad and Grievance Cell,End-semester anonymous feedback system,4.3/5,4.1/5,4.4/5,4.0/5,4.5/5,4.0/5,4.0/5
UNI004,University of Petroleum and Energy Studies,Dehradun,https://www.upes.ac.in/,1941,UGC Recognized,NAAC 'A' Grade,21,"Engineering: CSE, Mechanical | Management: MBA, BBA | Science: B.Sc, M.Sc","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",101337 per semester,20462,4980,8917,Active Training and Placement Cell,Strictly for registered final-year students,75% in 2023,9.8 Lakh Per Annum,32.9 Lakh Per Annum,2.8 Lakh Per Annum,"TCS, Infosys, Wipro, Cognizant, Amazon, Microsoft",Minimum 6.0 CGPA with no active backlogs,Mandatory 6-week summer internship,Stipend based on company selection,"Yes, across major city routes",31388,Over 15 designated routes,7:30 AM to 5:30 PM,Central Air-Conditioned Library,"Reading Room, Reference Section, Digital Access",246301,Available with remote access,"IEEE, Springer, ScienceDirect",8:00 AM to 8:00 PM,"Yes, for Boys and Girls",Available with 500+ capacity,Available with 300+ capacity,74855,28246,9:30 PM,Prior permission from Warden required,Strict anti-ragging policies enforced,"Yes, indoor and outdoor facilities","Football ground, Cricket pitch, Basketball courts","Table Tennis, Badminton, Chess","Football, Cricket, Volleyball, Athletics",Well-equipped modern gymnasium,Semester System (CBCS),Minimum 75% attendance mandatory,25% weightage,75% weightage,Minimum 40% aggregate required to pass,Conducted within 1 month of result declaration,Available for a maximum of 3 subjects,Maximum 4 backlogs allowed to promote to next year,Merit-based and Category-based scholarships available,Dedicated Student Counselling Centre,"Technical, Cultural, and Sports Clubs",Anti-Ragging Squad and Grievance Cell,End-semester anonymous feedback system,4.6/5,4.4/5,4.3/5,4.6/5,4.4/5,4.4/5,4.1/5
UNI005,Ashoka University,Haryana,https://www.ashoka.edu.in/,2020,UGC Recognized,NAAC 'A' Grade,50,"Engineering: CSE, Mechanical | Management: MBA, BBA | Science: B.Sc, M.Sc","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",77382 per semester,22109,4613,8813,Active Training and Placement Cell,Strictly for registered final-year students,95% in 2023,12.3 Lakh Per Annum,43.2 Lakh Per Annum,3.4 Lakh Per Annum,"TCS, Infosys, Wipro, Cognizant, Amazon, Microsoft",Minimum 6.0 CGPA with no active backlogs,Mandatory 6-week summer internship,Stipend based on company selection,"Yes, across major city routes",19925,Over 15 designated routes,7:30 AM to 5:30 PM,Central Air-Conditioned Library,"Reading Room, Reference Section, Digital Access",229445,Available with remote access,"IEEE, Springer, ScienceDirect",8:00 AM to 8:00 PM,"Yes, for Boys and Girls",Available with 500+ capacity,Available with 300+ capacity,54550,27990,9:30 PM,Prior permission from Warden required,Strict anti-ragging policies enforced,"Yes, indoor and outdoor facilities","Football ground, Cricket pitch, Basketball courts","Table Tennis, Badminton, Chess","Football, Cricket, Volleyball, Athletics",Well-equipped modern gymnasium,Semester System (CBCS),Minimum 75% attendance mandatory,25% weightage,75% weightage,Minimum 40% aggregate required to pass,Conducted within 1 month of result declaration,Available for a maximum of 3 subjects,Maximum 4 backlogs allowed to promote to next year,Merit-based and Category-based scholarships available,Dedicated Student Counselling Centre,"Technical, Cultural, and Sports Clubs",Anti-Ragging Squad and Grievance Cell,End-semester anonymous feedback system,4.1/5,4.0/5,3.6/5,4.5/5,4.9/5,4.6/5,4.8/5
UNI006,Indian Institute of Information Technology Sri City,Chittoor,https://www.iiits.ac.in/,1955,UGC Recognized,NAAC 'A' Grade,117,"Engineering: Computer Science (CSE), Civil, Mechanical, ICT","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",91407 per semester,17502,2598,6448,Active Training and Placement Cell,Strictly for registered final-year students,83% in 2023,9.4 Lakh Per Annum,37.4 Lakh Per Annum,2.8 Lakh Per Annum,"TCS, Infosys, Wipro, Cognizant, Amazon, Microsoft",Minimum 6.0 CGPA with no active backlogs,Mandatory 6-week summer internship,Stipend based on company selection,"Yes, across major city routes",24324,Over 15 designated routes,7:30 AM to 5:30 PM,Central Air-Conditioned Library,"Reading Room, Reference Section, Digital Access",223632,Available with remote access,"IEEE, Springer, ScienceDirect",8:00 AM to 8:00 PM,"Yes, for Boys and Girls",Available with 500+ capacity,Available with 300+ capacity,81534,27143,9:30 PM,Prior permission from Warden required,Strict anti-ragging policies enforced,"Yes, indoor and outdoor facilities","Football ground, Cricket pitch, Basketball courts","Table Tennis, Badminton, Chess","Football, Cricket, Volleyball, Athletics",Well-equipped modern gymnasium,Semester System (CBCS),Minimum 75% attendance mandatory,25% weightage,75% weightage,Minimum 40% aggregate required to pass,Conducted within 1 month of result declaration,Available for a maximum of 3 subjects,Maximum 4 backlogs allowed to promote to next year,Merit-based and Category-based scholarships available,Dedicated Student Counselling Centre,"Technical, Cultural, and Sports Clubs",Anti-Ragging Squad and Grievance Cell,End-semester anonymous feedback system,4.4/5,4.3/5,3.6/5,4.5/5,4.8/5,4.6/5,4.8/5
UNI007,DAV Institute of Engineering & Technology,Punjab,http://www.davietjal.org/,2001,UGC Recognized,NAAC 'A' Grade,64,"Engineering: Computer Science (CSE), Civil, Mechanical, ICT","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",56639 per semester,8019,4285,3258,Active Training and Placement Cell,Strictly for registered final-year students,94% in 2023,8.3 Lakh Per Annum,0 Lakh Per Annum,3.7 Lakh Per Annum,"TCS, Infosys, Wipro, Cognizant, Amazon, Microsoft",Minimum 6.0 CGPA with no active backlogs,Mandatory 6-week summer internship,Stipend based on company selection,"Yes, across major city routes",19099,Over 15 designated routes,7:30 AM to 5:30 PM,Central Air-Conditioned Library,"Reading Room, Reference Section, Digital Access",2020,Available with remote access,"IEEE, Springer, ScienceDirect",8:00 AM to 8:00 PM,"Yes, for Boys and Girls",Available with 500+ capacity,Available with 300+ capacity,2025,43057,9:30 PM,Prior permission from Warden required,Strict anti-ragging policies enforced,"Yes, indoor and outdoor facilities","Football ground, Cricket pitch, Basketball courts","Table Tennis, Badminton, Chess","Football, Cricket, Volleyball, Athletics",Well-equipped modern gymnasium,Semester System (CBCS),Minimum 75% attendance mandatory,25% weightage,75% weightage,Minimum 40% aggregate required to pass,Conducted within 1 month of result declaration,Available for a maximum of 3 subjects,Maximum 4 backlogs allowed to promote to next year,Merit-based and Category-based scholarships available,Dedicated Student Counselling Centre,"Technical, Cultural, and Sports Clubs",Anti-Ragging Squad and Grievance Cell,End-semester anonymous feedback system,4.2/5,3.9/5,3.6/5,4.1/5,4.2/5,4.3/5,4.4/5
UNI008,Lovely Professional University,Punjab,http://www.lpu.in/,1958,UGC Recognized,NAAC 'A' Grade,109,"Engineering: CSE, Mechanical | Management: MBA, BBA | Science: B.Sc, M.Sc","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",59602 per semester,24250,1836,2273,Active Training and Placement Cell,Strictly for registered final-year students,79% in 2023,5.8 Lakh Per Annum,25.0 Lakh Per Annum,3.0 Lakh Per Annum,"TCS, Infosys, Wipro, Cognizant, Amazon, Microsoft",Minimum 6.0 CGPA with no active backlogs,Mandatory 6-week summer internship,Stipend based on company selection,"Yes, across major city routes",33538,Over 15 designated routes,7:30 AM to 5:30 PM,Central Air-Conditioned Library,"Reading Room, Reference Section, Digital Access",120899,Available with remote access,"IEEE, Springer, ScienceDirect",8:00 AM to 8:00 PM,"Yes, for Boys and Girls",Available with 500+ capacity,Available with 300+ capacity,55810,44886,9:30 PM,Prior permission from Warden required,Strict anti-ragging policies enforced,"Yes, indoor and outdoor facilities","Football ground, Cricket pitch, Basketball courts","Table Tennis, Badminton, Chess","Football, Cricket, Volleyball, Athletics",Well-equipped modern gymnasium,Semester System (CBCS),Minimum 75% attendance mandatory,25% weightage,75% weightage,Minimum 40% aggregate required to pass,Conducted within 1 month of result declaration,Available for a maximum of 3 subjects,Maximum 4 backlogs allowed to promote to next year,Merit-based and Category-based scholarships available,Dedicated Student Counselling Centre,"Technical, Cultural, and Sports Clubs",Anti-Ragging Squad and Grievance Cell,End-semester anonymous feedback system,4.6/5,4.4/5,3.7/5,3.8/5,4.3/5,4.1/5,4.2/5
UNI009,Somaiya Vidyavihar,nan,https://somaiya.edu/,1997,UGC Recognized,NAAC 'A' Grade,124,"Engineering: CSE, Mechanical | Management: MBA, BBA | Science: B.Sc, M.Sc","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",42800 per semester,7077,4988,3796,Active Training and Placement Cell,Strictly for registered final-year students,97% in 2023,5.8 Lakh Per Annum,36.0 Lakh Per Annum,3.2 Lakh Per Annum,"TCS, Infosys, Wipro, Cognizant, Amazon, Microsoft",Minimum 6.0 CGPA with no active backlogs,Mandatory 6-week summer internship,Stipend based on company selection,"Yes, across major city routes",29313,Over 15 designated routes,7:30 AM to 5:30 PM,Central Air-Conditioned Library,"Reading Room, Reference Section, Digital Access",92192,Available with remote access,"IEEE, Springer, ScienceDirect",8:00 AM to 8:00 PM,"Yes, for Boys and Girls",Available with 500+ capacity,Available with 300+ capacity,68505,35444,9:30 PM,Prior permission from Warden required,Strict anti-ragging policies enforced,"Yes, indoor and outdoor facilities","Football ground, Cricket pitch, Basketball courts","Table Tennis, Badminton, Chess","Football, Cricket, Volleyball, Athletics",Well-equipped modern gymnasium,Semester System (CBCS),Minimum 75% attendance mandatory,25% weightage,75% weightage,Minimum 40% aggregate required to pass,Conducted within 1 month of result declaration,Available for a maximum of 3 subjects,Maximum 4 backlogs allowed to promote to next year,Merit-based and Category-based scholarships available,Dedicated Student Counselling Centre,"Technical, Cultural, and Sports Clubs",Anti-Ragging Squad and Grievance Cell,End-semester anonymous feedback system,4.8/5,4.2/5,4.4/5,3.9/5,4.2/5,4.5/5,4.3/5
UNI010,NorthCap University,Haryana,http://www.ncuindia.edu/,1991,UGC Recognized,NAAC 'A' Grade,69,"Engineering: CSE, Mechanical | Management: MBA, BBA | Science: B.Sc, M.Sc","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",2026 per semester,5282,3013,5347,Active Training and Placement Cell,Strictly for registered final-year students,76% in 2023,8.5 Lakh Per Annum,24.9 Lakh Per Annum,3.3 Lakh Per Annum,"TCS, Infosys, Wipro, Cognizant, Amazon, Microsoft",Minimum 6.0 CGPA with no active backlogs,Mandatory 6-week summer internship,Stipend based on company selection,"Yes, across major city routes",34894,Over 15 designated routes,7:30 AM to 5:30 PM,Central Air-Conditioned Library,"Reading Room, Reference Section, Digital Access",75230,Available with remote access,"IEEE, Springer, ScienceDirect",8:00 AM to 8:00 PM,"Yes, for Boys and Girls",Available with 500+ capacity,Available with 300+ capacity,58557,25994,9:30 PM,Prior permission from Warden required,Strict anti-ragging policies enforced,"Yes, indoor and outdoor facilities","Football ground, Cricket pitch, Basketball courts","Table Tennis, Badminton, Chess","Football, Cricket, Volleyball, Athletics",Well-equipped modern gymnasium,Semester System (CBCS),Minimum 75% attendance mandatory,25% weightage,75% weightage,Minimum 40% aggregate required to pass,Conducted within 1 month of result declaration,Available for a maximum of 3 subjects,Maximum 4 backlogs allowed to promote to next year,Merit-based and Category-based scholarships available,Dedicated Student Counselling Centre,"Technical, Cultural, and Sports Clubs",Anti-Ragging Squad and Grievance Cell,End-semester anonymous feedback system,4.5/5,4.2/5,4.4/5,4.3/5,4.5/5,4.1/5,4.6/5
